order_id,rank,car_part_id
1874359,1,49
1874359,2,37
1874359,3,50
1874359,4,28
1874359,5,47
1874359,6,35
1874359,7,30
1874359,8,36
1874343,1,5
1874343,2,3
1874343,3,17
1874343,4,11
1874343,5,6
1874385,1,65
1874385,2,64
1874385,3,54
1874385,4,69
1874385,5,68
1874385,6,66
1874385,7,74
1874387,1,58
1874387,2,69
1874387,3,71
1874387,4,74
1874387,5,54
1874387,6,73
1874353,1,13
1874353,2,1
1874353,3,5
1874335,1,16
1874335,2,18
1874335,3,15
1874335,4,21
1874335,5,2
1874335,6,19
1874335,7,22
1874335,8,3
1874352,1,15
1874352,2,1
1874352,3,3
1874352,4,12
1874352,5,5
1874393,1,54
1874393,2,65
1874393,3,69
1874393,4,64
1874393,5,74
1874393,6,57
1874336,1,15
1874336,2,16
1874336,3,22
1874336,4,6
1874336,5,19
1874336,6,9
1874406,1,81
1874406,2,98
1874406,3,84
1874406,4,100
1874398,1,72
1874398,2,74
1874398,3,63
1874398,4,61
1874398,5,65
1874398,6,55
1874411,1,87
1874411,2,95
1874411,3,76
1874417,1,92
1874417,2,81
1874417,3,97
1874417,4,83
1874417,5,85
1874417,6,94
1874417,7,79
1874383,1,51
1874383,2,54
1874383,3,75
1874383,4,55
1874383,5,61
1874383,6,70
1874342,1,1
1874342,2,15
1874342,3,6
1874342,4,9
1874342,5,8
1874342,6,13
1874342,7,25
1874430,1,85
1874430,2,99
1874430,3,96
1874430,4,87
1874394,1,58
1874394,2,61
1874394,3,62
1874394,4,74
1874394,5,72
1874394,6,51
1874394,7,56
1874344,1,16
1874344,2,9
1874344,3,15
1874344,4,25
1874344,5,22
1874344,6,3
1874344,7,4
1874415,1,86
1874415,2,89
1874415,3,100
1874415,4,82
1874403,1,65
1874403,2,59
1874403,3,62
1874403,4,73
1874403,5,74
1874403,6,69
1874403,7,55
1874403,8,63
1874350,1,4
1874350,2,21
1874350,3,10
1874350,4,23
1874350,5,22
1874350,6,7
1874350,7,8
1874389,1,72
1874389,2,69
1874389,3,51
1874389,4,67
1874389,5,70
1874389,6,66
1874389,7,61
1874389,8,55
1874364,1,35
1874364,2,36
1874364,3,31
1874364,4,47
1874364,5,26
1874364,6,43
1874364,7,38
1874384,1,56
1874384,2,58
1874384,3,71
1874384,4,57
1874375,1,36
1874375,2,49
1874375,3,30
1874375,4,45
1874375,5,31
1874375,6,33
1874375,7,29
1874375,8,28
1874372,1,29
1874372,2,41
1874372,3,44
1874372,4,45
1874374,1,34
1874374,2,39
1874374,3,30
1874374,4,37
1874374,5,31
1874361,1,46
1874361,2,27
1874361,3,29
1874361,4,43
1874361,5,40
1874361,6,26
1874361,7,30
1874361,8,35
1874416,1,87
1874416,2,82
1874416,3,94
1874416,4,98
1874373,1,48
1874373,2,35
1874373,3,40
1874373,4,44
1874373,5,46
1874358,1,35
1874358,2,50
1874358,3,26
1874358,4,37
1874358,5,48
1874358,6,34
1874358,7,40
1874419,1,99
1874419,2,86
1874419,3,93
1874419,4,76
1874419,5,98
1874369,1,46
1874369,2,47
1874369,3,44
1874369,4,43
1874369,5,26
1874413,1,86
1874413,2,98
1874413,3,82
1874428,1,81
1874428,2,92
1874428,3,98
1874418,1,97
1874418,2,99
1874418,3,100
1874418,4,83
1874418,5,80
1874418,6,91
1874418,7,89
1874365,1,48
1874365,2,44
1874365,3,26
1874365,4,36
1874365,5,31
1874400,1,66
1874400,2,65
1874400,3,68
1874388,1,59
1874388,2,57
1874388,3,67
1874388,4,72
1874388,5,52
1874388,6,65
1874420,1,81
1874420,2,100
1874420,3,90
1874429,1,97
1874429,2,88
1874429,3,82
1874392,1,64
1874392,2,65
1874392,3,73
1874395,1,63
1874395,2,54
1874395,3,64
1874395,4,70
1874395,5,53
1874395,6,61
1874422,1,98
1874422,2,82
1874422,3,81
1874422,4,99
1874422,5,97
1874422,6,96
1874422,7,93
1874408,1,90
1874408,2,99
1874408,3,94
1874408,4,84
1874408,5,76
1874390,1,54
1874390,2,53
1874390,3,75
1874390,4,70
1874409,1,84
1874409,2,94
1874409,3,90
1874409,4,89
1874423,1,90
1874423,2,91
1874423,3,89
1874423,4,79
1874401,1,60
1874401,2,52
1874401,3,71
1874401,4,67
1874401,5,70
1874401,6,72
1874426,1,93
1874426,2,76
1874426,3,88
1874426,4,77
1874426,5,89
1874370,1,43
1874370,2,39
1874370,3,48
1874370,4,33
1874370,5,29
1874370,6,32
1874414,1,93
1874414,2,83
1874414,3,98
1874414,4,97
1874414,5,78
1874362,1,30
1874362,2,36
1874362,3,28
1874362,4,31
1874362,5,41
1874362,6,32
1874362,7,29
1874362,8,48
1874382,1,64
1874382,2,63
1874382,3,54
1874382,4,59
1874382,5,69
1874382,6,65
1874412,1,88
1874412,2,84
1874412,3,85
1874412,4,100
1874412,5,78
1874347,1,5
1874347,2,19
1874347,3,25
1874347,4,10
1874338,1,6
1874338,2,2
1874338,3,25
1874338,4,7
1874366,1,49
1874366,2,40
1874366,3,30
1874366,4,41
1874366,5,32
1874366,6,36
1874376,1,28
1874376,2,46
1874376,3,34
1874376,4,40
1874376,5,27
1874404,1,56
1874404,2,70
1874404,3,72
1874404,4,53
1874332,1,14
1874332,2,5
1874332,3,13
1874332,4,22
1874332,5,18
1874332,6,6
1874332,7,11
1874345,1,5
1874345,2,6
1874345,3,4
1874345,4,15
1874345,5,3
1874386,1,66
1874386,2,51
1874386,3,63
1874386,4,74
1874386,5,65
1874386,6,57
1874337,1,18
1874337,2,25
1874337,3,8
1874337,4,7
1874355,1,11
1874355,2,22
1874355,3,13
1874348,1,2
1874348,2,12
1874348,3,15
1874348,4,5
1874348,5,8
1874348,6,23
1874381,1,73
1874381,2,66
1874381,3,71
1874381,4,59
1874381,5,61
1874333,1,4
1874333,2,22
1874333,3,2
1874333,4,12
1874333,5,7
1874333,6,25
1874333,7,21
1874333,8,9
1874354,1,22
1874354,2,13
1874354,3,25
1874354,4,5
1874354,5,19
1874354,6,7
1874367,1,42
1874367,2,41
1874367,3,40
1874367,4,32
1874367,5,38
1874367,6,39
1874421,1,86
1874421,2,78
1874421,3,77
1874421,4,93
1874421,5,79
1874421,6,97
1874421,7,76
1874410,1,93
1874410,2,83
1874410,3,81
1874410,4,79
1874425,1,80
1874425,2,93
1874425,3,78
1874425,4,96
1874427,1,90
1874427,2,84
1874427,3,96
1874427,4,78
1874356,1,41
1874356,2,47
1874356,3,40
1874356,4,37
1874356,5,46
1874356,6,26
1874407,1,88
1874407,2,83
1874407,3,97
1874407,4,86
1874407,5,77
1874407,6,94
1874357,1,35
1874357,2,43
1874357,3,48
1874357,4,38
1874357,5,31
1874357,6,36
1874357,7,47
1874371,1,44
1874371,2,32
1874371,3,41
1874371,4,39
1874371,5,45
1874371,6,34
1874378,1,33
1874378,2,44
1874378,3,35
1874378,4,29
1874378,5,39
1874378,6,36
1874378,7,45
1874378,8,40
1874379,1,47
1874379,2,39
1874379,3,26
1874379,4,41
1874379,5,37
1874360,1,29
1874360,2,46
1874360,3,38
1874363,1,32
1874363,2,33
1874363,3,44
1874363,4,41
1874363,5,28
1874363,6,45
1874363,7,34
1874363,8,40
1874377,1,40
1874377,2,37
1874377,3,39
1874377,4,41
1874377,5,31
1874377,6,42
1874377,7,36
1874377,8,32
1874368,1,42
1874368,2,50
1874368,3,45
1874380,1,29
1874380,2,36
1874380,3,43
1874380,4,35
1874380,5,48
1874380,6,41
1874351,1,10
1874351,2,14
1874351,3,1
1874351,4,22
1874351,5,20
1874424,1,84
1874424,2,90
1874424,3,79
1874424,4,89
1874424,5,82
1874424,6,93
1874424,7,81
1874331,1,14
1874331,2,25
1874331,3,23
1874331,4,9
1874331,5,7
1874331,6,13
1874331,7,12
1874349,1,7
1874349,2,3
1874349,3,21
1874349,4,23
1874349,5,14
1874349,6,15
1874349,7,13
1874340,1,11
1874340,2,10
1874340,3,3
1874340,4,20
1874340,5,7
1874340,6,16
1874340,7,9
1874346,1,3
1874346,2,25
1874346,3,16
1874346,4,19
1874334,1,12
1874334,2,3
1874334,3,1
1874334,4,23
1874334,5,13
1874334,6,18
1874334,7,25
1874402,1,62
1874402,2,74
1874402,3,53
1874402,4,51
1874402,5,65
1874402,6,66
1874402,7,73
1874399,1,57
1874399,2,72
1874399,3,68
1874399,4,55
1874399,5,74
1874399,6,75
1874399,7,70
1874399,8,71
1874391,1,57
1874391,2,64
1874391,3,61
1874391,4,62
1874405,1,55
1874405,2,66
1874405,3,53
1874405,4,68
1874405,5,73
1874405,6,61
1874397,1,68
1874397,2,74
1874397,3,70
1874396,1,61
1874396,2,68
1874396,3,66
1874396,4,56
1874396,5,54
1874341,1,3
1874341,2,6
1874341,3,2
1874341,4,20
1874339,1,22
1874339,2,8
1874339,3,1
1874339,4,16
1874339,5,3
